Age,SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,SATD,Parameters,LocalVariables,ChangeAtMethodAge,NewAdditions,DiffSizes,EditDistances,CriticalEditDistances,TangledWMoveandFileRename,Buggycommiit,PotentiallyBuggycommit,RiskyCommit,file,Decision,Detection,result
1293,9#9,0.8050674200057983#0.8050674200057983,0.7707052396373683#0.7707052396373683,0#0,0#0,0#0,2#2,3.14#3.14,1#1,2#2,38.0#38.0,108.18115234375#108.18115234375,0#0,1#1,0#0,0#621,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0,1074.json,NotBuggy,NotBuggy,
1293,3#3#3,0.8197518587112427#0.8197518587112427#0.9313368201255798,0.47296409644891946#0.47296409644891946#0.7398727306796007,0#0#0,0#0#0,0#0#0,1#1#1,1.89#1.89#1.89,0#0#0,1#1#0,26.0#26.0#22.0,128.41912841796875#128.41912841796875#129.57785034179688,0#0#0,1#1#1,0#0#0,0#621#913,0#0#1,0#0#2,0#0#16,0#0#16,0#0#5,0#0#0,0#0#0,0#0#0,1078.json,NotBuggy,NotBuggy,
1521,3#3#3,0.05848744511604309#0.0513882115483284#0.0513882115483284,0.9382248135374905#0.9522891600321898#0.9522891600321898,0#0#0,0#0#0,0#0#0,1#1#1,1.89#1.89#1.89,0#0#0,0#0#0,12.0#11.0#11.0,133.59722900390625#134.26058959960938#134.26058959960938,0#0#0,0#0#0,0#0#0,0#386#1137,0#1#0,0#2#0,0#7#0,0#7#0,0#6#5,0#0#0,0#0#0,0#0#0,85.json,NotBuggy,NotBuggy,
2587,11#11#11#11#11#11,0.012401465326547623#0.012401465326547623#0.005294913426041603#0.005294913426041603#0.005294913426041603#0.003392409533262253,0.3684374416054496#0.3684374416054496#0.0809250712734327#0.0809250712734327#0.0809250712734327#0.043490496373318796,2#2#2#2#2#2,2#2#2#2#2#2,4#4#4#4#4#4,3#3#3#3#3#3,3.56#3.56#3.56#3.56#3.56#3.56,2#2#2#2#2#2,4#4#6#6#6#8,52.0#52.0#61.0#61.0#61.0#64.0,102.93279266357422#102.93279266357422#101.97985076904297#101.97985076904297#101.97985076904297#101.67314147949219,0#0#0#0#0#0,4#4#4#4#4#4,1#1#1#1#1#1,0#125#1451#1827#1914#2216,0#0#3#0#0#3,0#0#6#0#0#6,0#0#42#0#0#40,0#0#42#0#0#40,0#5#17#28#39#20,0#0#0#0#0#0,0#0#0#0#0#0,0#0#0#0#0#0,1065.json,NotBuggy,NotBuggy,
778,3#3#3,0.08367578685283661#0.08949063718318939#0.08367578685283661,0.6673209907358356#0.7101062409475152#0.6673209907358356,0#0#0,0#0#0,0#0#0,1#1#1,1.89#1.89#1.89,0#0#0,1#1#1,21.0#21.0#21.0,129.93223571777344#129.93223571777344#129.93223571777344,0#0#0,1#1#1,0#0#0,0#105#706,0#3#3,0#6#6,0#12#12,0#0#0,0#39#40,0#0#0,0#0#1,0#0#1,751.json,NotBuggy,NotBuggy,
1293,3#3#3#3,0.9294187426567078#0.9384797811508179#0.962285041809082#0.962285041809082,0.9562023580435844#0.9843556802928695#0.890192255133494#0.890192255133494,0#0#0#0,0#0#0#0,0#0#0#0,1#1#1#1,1.89#1.89#1.89#1.89,0#0#0#0,1#1#1#1,13.0#13.0#16.0#16.0,133.18099975585938#133.18099975585938#131.60296630859375#131.60296630859375,0#0#0#0,0#0#0#0,0#0#0#0,0#493#511#620,0#3#3#0,0#6#6#0,0#24#37#0,0#0#17#0,0#39#65#39,0#0#0#0,0#0#0#0,0#0#0#0,1257.json,NotBuggy,NotBuggy,
1293,17#14#14#15#15#15#15#15#26,0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0,9.129130145607891E-12#6.455418384465516E-10#6.507946876983464E-10#1.4440905195727384E-10#1.4440905195727384E-10#3.0453472354439367E-10#1.7374905947900318E-10#1.177821155650694E-10#1.6719550009140523E-17,3#2#2#2#2#2#2#2#2,3#2#2#2#2#2#2#2#2,6#4#4#4#4#4#4#4#4,4#3#3#3#3#3#3#3#3,2.66#2.7#2.7#2.72#2.72#2.72#2.72#2.72#5.38,1#1#1#1#1#1#1#1#2,25#18#18#20#20#20#21#21#35,188.0#161.0#161.0#173.0#173.0#168.0#170.0#172.0#270.0,88.0655288696289#92.33946228027344#92.33946228027344#90.81627655029297#90.81627655029297#90.93798828125#90.84651184082031#90.78569793701172#79.26959228515625,0#0#0#0#0#0#0#0#0,1#1#1#1#1#1#1#1#1,2#2#2#2#2#2#2#2#4,0#16#205#348#620#922#1064#1186#1208,0#3#2#2#0#1#1#1#12,0#9#4#2#0#2#2#2#13,0#209#8#56#0#14#12#17#566,0#197#8#51#0#14#12#17#464,0#16#1#1#39#11#102#43#1,0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#1#0#0,0#0#0#0#0#0#1#0#0,902.json,NotBuggy,NotBuggy,
2644,3#3#3,0.8980134725570679#0.8980134725570679#0.8980134725570679,0.9914714916955435#0.9914714916955435#0.9914714916955435,0#0#0,0#0#0,0#0#0,1#1#1,1.89#1.89#1.89,0#0#0,0#0#0,12.0#12.0#12.0,133.59722900390625#133.59722900390625#133.59722900390625,0#0#0,0#0#0,0#0#0,0#1971#1981,0#0#0,0#0#0,0#0#0,0#0#0,0#0#1,0#0#0,0#0#0,0#0#0,624.json,NotBuggy,NotBuggy,
1293,3#3#7#7#7,0.8761343359947205#0.8252102136611938#0.019341295585036278#0.018145550042390823#0.02882016822695732,0.9467737860798712#0.9409338324535104#0.010645041874003768#0.010265570773378795#0.01019934389946282,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,1#1#2#2#2,1.89#1.89#3.02#3.02#3.02,0#0#1#1#1,1#1#7#7#8,14.0#14.0#59.0#59.0#59.0,132.61029052734375#132.61029052734375#109.35380554199219#109.35380554199219#109.35380554199219,0#0#0#0#0,1#1#0#0#0,0#0#2#2#2,0#620#964#1013#1064,0#1#7#2#1,0#2#14#4#2,0#18#265#11#18,0#18#256#11#18,0#39#7#20#102,0#0#0#0#0,0#0#1#1#1,0#0#1#0#1,1003.json,NotBuggy,NotBuggy,
2547,5#5#6#6#6,0.03747459501028061#0.06585351377725601#0.07236869633197784#0.11532426625490189#0.4556019902229309,0.14634457647483068#0.06077600867186406#0.03539176981292482#0.03699019299580301#0.08715545615646597,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,1#1#1#1#1,1.96#1.73#1.6#1.66#1.54,0#0#0#0#0,4#6#6#6#6,42.0#52.0#59.0#57.0#57.0,117.4128646850586#115.98587036132812#112.32106018066406#112.5003890991211#112.5003890991211,0#0#1#0#0,3#3#3#3#3,1#1#2#2#2,0#1459#1645#1874#2489,0#4#3#2#4,0#5#4#5#6,0#285#153#139#30,0#38#77#89#0,0#1#1#39#11,0#0#0#0#0,0#1#0#0#0,0#1#0#0#0,1023.json,NotBuggy,NotBuggy,
2418,3#4#4#4#4,0.4508418142795563#0.09146668761968613#0.09146668761968613#0.09146668761968613#0.09146668761968613,0.8586441681464527#0.6413509648881263#0.6413509648881263#0.6413509648881263#0.6413509648881263,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,1#1#1#1#1,1.89#2.0#2.0#2.0#2.0,0#0#0#0#0,2#3#3#3#3,19.0#27.0#27.0#27.0#27.0,130.70933532714844#123.85247039794922#123.85247039794922#123.85247039794922#123.85247039794922,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,0#137#1745#1755#2042,0#4#0#0#0,0#7#0#0#0,0#96#0#0#0,0#73#0#0#0,0#11#0#2#0,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,20.json,NotBuggy,NotBuggy,
