Project,File,HistoryIndex,FileChangeCount
lucene-solr,44598.json,1,5
lucene-solr,47135.json,0,3
lucene-solr,40617.json,1,2
lucene-solr,14569.json,1,5
lucene-solr,14917.json,1,5
lucene-solr,48196.json,0,3
lucene-solr,50391.json,0,4
lucene-solr,41222.json,4,3
lucene-solr,13509.json,1,5
lucene-solr,646.json,1,2
lucene-solr,13446.json,0,4
lucene-solr,13242.json,0,5
lucene-solr,47759.json,1,5
lucene-solr,20863.json,3,3
lucene-solr,47144.json,0,3
lucene-solr,16019.json,9,4
lucene-solr,6192.json,0,5
lucene-solr,41223.json,4,3
lucene-solr,14424.json,0,5
lucene-solr,6946.json,1,5
lucene-solr,45771.json,0,2
lucene-solr,17008.json,2,4
lucene-solr,50389.json,0,4
jna,2121.json,0,2
jna,146.json,0,2
jna,4142.json,5,5
jna,4215.json,4,2
jna,325.json,0,2
jna,3652.json,3,3
jna,2041.json,0,2
jna,1716.json,1,4
jna,4111.json,1,2
jna,1717.json,1,4
spring-framework,13448.json,0,4
spring-framework,13427.json,1,4
spring-framework,15028.json,2,5
spring-framework,15035.json,2,5
spring-framework,26087.json,1,2
spring-framework,13445.json,0,4
spring-framework,8141.json,1,4
spring-framework,16453.json,0,4
spring-framework,26098.json,1,2
spring-framework,15051.json,2,5
spring-framework,12428.json,0,5
spring-framework,12427.json,0,5
spring-framework,12423.json,0,5
spring-framework,13428.json,1,4
sonarqube,11064.json,0,4
sonarqube,1454.json,3,3
sonarqube,2297.json,7,4
sonarqube,12391.json,1,4
sonarqube,14783.json,4,4
sonarqube,1136.json,0,2
sonarqube,18140.json,3,5
sonarqube,10480.json,5,3
sonarqube,19951.json,6,3
sonarqube,4891.json,2,3
sonarqube,1730.json,1,3
sonarqube,18846.json,0,4
sonarqube,7206.json,1,5
sonarqube,19956.json,2,3
sonarqube,20010.json,0,3
sonarqube,18436.json,1,5
sonarqube,20864.json,0,2
sonarqube,8852.json,4,2
sonarqube,17133.json,1,3
sonarqube,20160.json,1,4
sonarqube,14376.json,6,4
sonarqube,20862.json,0,2
sonarqube,15173.json,1,3
sonarqube,8268.json,4,3
sonarqube,14452.json,17,3
sonarqube,3479.json,1,2
sonarqube,16878.json,2,3
sonarqube,17135.json,1,3
sonarqube,34.json,1,5
sonarqube,15946.json,2,2
sonarqube,5976.json,3,2
sonarqube,2356.json,12,5
sonarqube,1134.json,0,2
sonarqube,19198.json,0,5
sonarqube,6770.json,2,4
sonarqube,3937.json,1,5
sonarqube,6600.json,2,5
sonarqube,7882.json,0,3
sonarqube,3682.json,1,4
sonarqube,20670.json,0,3
sonarqube,19196.json,0,5
sonarqube,20116.json,0,4
sonarqube,1143.json,0,4
sonarqube,2756.json,2,3
sonarqube,3936.json,1,5
sonarqube,5225.json,2,3
sonarqube,3935.json,1,5
sonarqube,17859.json,7,4
sonarqube,18437.json,1,5
sonarqube,8330.json,3,3
sonarqube,19348.json,1,4
sonarqube,4469.json,5,4
sonarqube,16875.json,2,3
sonarqube,20264.json,2,3
sonarqube,20113.json,0,4
sonarqube,19207.json,0,5
sonarqube,8725.json,2,5
sonarqube,6054.json,11,3
sonarqube,10739.json,5,2
sonarqube,1485.json,3,3
sonarqube,18826.json,1,2
sonarqube,10312.json,1,4
sonarqube,10496.json,1,5
sonarqube,19726.json,1,3
sonarqube,17931.json,0,4
sonarqube,10181.json,1,3
sonarqube,5636.json,5,3
sonarqube,10472.json,5,3
sonarqube,13984.json,4,4
sonarqube,8049.json,0,2
sonarqube,10983.json,6,3
sonarqube,20853.json,1,2
sonarqube,3538.json,1,3
sonarqube,1142.json,0,4
sonarqube,8675.json,7,3
sonarqube,10265.json,1,3
sonarqube,4154.json,6,2
sonarqube,683.json,2,2
sonarqube,6768.json,2,4
sonarqube,15012.json,5,3
sonarqube,4977.json,3,5
sonarqube,20270.json,7,3
sonarqube,14433.json,3,2
sonarqube,15831.json,1,4
sonarqube,4978.json,3,5
sonarqube,17866.json,7,5
sonarqube,17972.json,0,3
sonarqube,8511.json,4,2
sonarqube,70.json,1,3
sonarqube,1145.json,0,4
sonarqube,10741.json,5,2
sonarqube,15161.json,1,3
sonarqube,20861.json,0,2
sonarqube,42.json,1,5
sonarqube,18998.json,0,4
sonarqube,20280.json,2,4
sonarqube,7883.json,0,3
sonarqube,3731.json,2,5
sonarqube,8690.json,8,2
sonarqube,8870.json,0,4
sonarqube,18472.json,1,3
sonarqube,19590.json,2,4
sonarqube,16742.json,2,3
sonarqube,1960.json,3,2
sonarqube,4237.json,3,5
sonarqube,20513.json,8,3
sonarqube,664.json,4,2
sonarqube,6061.json,1,4
sonarqube,14438.json,6,4
sonarqube,20766.json,1,2
sonarqube,18434.json,0,5
sonarqube,14700.json,4,3
sonarqube,10797.json,1,5
sonarqube,2907.json,4,4
sonarqube,12671.json,3,2
sonarqube,4394.json,18,3
sonarqube,3376.json,1,4
sonarqube,17871.json,8,4
sonarqube,19493.json,0,4
sonarqube,14222.json,4,4
sonarqube,9312.json,3,4
sonarqube,18395.json,0,3
sonarqube,16429.json,0,4
sonarqube,18163.json,0,4
sonarqube,5676.json,2,4
sonarqube,4156.json,2,2
sonarqube,4874.json,0,4
sonarqube,18418.json,0,4
sonarqube,69.json,2,3
sonarqube,5641.json,3,3
sonarqube,20109.json,0,4
sonarqube,14850.json,4,2
sonarqube,22.json,1,5
sonarqube,1550.json,7,2
sonarqube,5362.json,1,3
sonarqube,17136.json,1,3
sonarqube,5411.json,1,2
sonarqube,8329.json,5,3
sonarqube,18334.json,0,2
sonarqube,19195.json,0,5
sonarqube,8311.json,1,2
sonarqube,892.json,0,2
sonarqube,18432.json,0,5
sonarqube,14181.json,8,4
sonarqube,16743.json,2,3
sonarqube,14417.json,5,4
sonarqube,7884.json,0,3
sonarqube,9310.json,5,4
sonarqube,20110.json,0,4
sonarqube,1144.json,0,4
sonarqube,6882.json,3,3
sonarqube,19197.json,0,5
sonarqube,9636.json,3,3
sonarqube,8665.json,7,3
sonarqube,5366.json,1,3
sonarqube,15184.json,1,3
sonarqube,1002.json,0,2
sonarqube,14448.json,13,2
sonarqube,15131.json,6,3
sonarqube,5472.json,3,3
sonarqube,338.json,0,2
sonarqube,7151.json,8,2
sonarqube,1549.json,7,2
sonarqube,10314.json,3,4
sonarqube,43.json,2,5
sonarqube,6044.json,5,2
sonarqube,18867.json,0,3
sonarqube,6626.json,12,3
sonarqube,18133.json,1,5
sonarqube,1900.json,2,5
sonarqube,16741.json,3,3
sonarqube,8686.json,3,4
sonarqube,14062.json,5,4
sonarqube,9316.json,3,3
sonarqube,3375.json,1,4
sonarqube,1749.json,1,5
sonarqube,6769.json,2,4
sonarqube,5075.json,3,5
sonarqube,9681.json,3,3
sonarqube,9211.json,11,2
sonarqube,17341.json,1,3
sonarqube,7150.json,5,2
sonarqube,20556.json,6,3
sonarqube,9889.json,3,3
sonarqube,1907.json,2,5
sonarqube,20281.json,2,4
sonarqube,12672.json,3,4
sonarqube,907.json,1,2
sonarqube,20863.json,0,2
sonarqube,14449.json,11,3
sonarqube,20008.json,5,2
sonarqube,4303.json,1,5
sonarqube,5358.json,4,3
sonarqube,9646.json,5,2
sonarqube,16851.json,1,4
sonarqube,14435.json,10,4
sonarqube,16343.json,2,3
sonarqube,8741.json,2,5
sonarqube,18845.json,0,4
sonarqube,18989.json,2,3
sonarqube,12673.json,2,4
sonarqube,685.json,2,2
sonarqube,10796.json,1,5
sonarqube,18139.json,1,5
sonarqube,6759.json,2,4
sonarqube,17134.json,1,3
sonarqube,6148.json,0,4
sonarqube,4907.json,2,2
voldemort,9608.json,1,3
voldemort,10087.json,0,2
voldemort,8600.json,0,4
voldemort,10917.json,1,2
voldemort,9512.json,0,5
voldemort,10361.json,0,5
voldemort,10363.json,0,5
voldemort,9518.json,0,5
voldemort,9517.json,0,5
voldemort,10362.json,0,5
voldemort,9607.json,1,3
voldemort,8659.json,0,3
voldemort,9827.json,0,4
voldemort,10386.json,0,3
voldemort,664.json,0,2
voldemort,9494.json,0,5
voldemort,7092.json,4,4
voldemort,10508.json,1,3
voldemort,8842.json,1,4
voldemort,10579.json,0,2
voldemort,8599.json,1,4
voldemort,887.json,0,4
voldemort,10572.json,2,4
voldemort,8609.json,0,2
voldemort,9513.json,0,5
voldemort,10530.json,1,2
voldemort,9466.json,0,4
voldemort,8598.json,0,4
voldemort,7708.json,0,5
voldemort,78.json,2,2
voldemort,7504.json,12,4
voldemort,7983.json,1,5
cassandra,18583.json,0,2
cassandra,15724.json,1,2
cassandra,10669.json,2,3
cassandra,10670.json,2,3
cassandra,23192.json,0,2
cassandra,7605.json,0,2
cassandra,3122.json,1,3
cassandra,23349.json,1,5
cassandra,22663.json,0,2
cassandra,10678.json,4,3
cassandra,21387.json,1,2
cassandra,22672.json,0,2
cassandra,7180.json,4,5
cassandra,21395.json,1,2
cassandra,7140.json,0,2
cassandra,7377.json,3,5
cassandra,7141.json,0,2
cassandra,15608.json,1,3
cassandra,3088.json,2,5
cassandra,3123.json,1,3
cassandra,18590.json,0,2
cassandra,23352.json,1,5
cassandra,7604.json,0,2
cassandra,15607.json,2,3
cassandra,1133.json,3,2
jgit,5007.json,0,3
jgit,8871.json,0,4
jgit,9158.json,0,2
jgit,8282.json,2,2
jgit,8607.json,1,4
jgit,7048.json,0,2
jgit,841.json,0,4
jgit,1815.json,2,4
jgit,9172.json,0,2
jgit,9870.json,0,4
jgit,2284.json,0,4
jgit,2699.json,0,4
jgit,9384.json,2,2
jgit,7297.json,0,2
jgit,7050.json,0,2
jgit,9432.json,2,3
jgit,41.json,0,2
jgit,6021.json,0,4
jgit,9496.json,0,3
jgit,6339.json,0,4
jgit,1451.json,0,4
jgit,1408.json,1,5
